N = ,1, n = ,4, Step = ,0, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) = ,0.147705
N = ,1, n = ,4, Step = ,0, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) Follow Recommendation = ,0.232483
N = ,1, n = ,4, Step = ,0, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) Submit Rating = ,0.520844
N = ,1, n = ,4, Step = ,1, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) = ,0.829285
N = ,1, n = ,4, Step = ,2, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) = ,0.399078
N = ,1, n = ,4, Step = ,3, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) = ,0.096375
N = ,1, n = ,4, Step = ,3, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) Follow Recommendation = ,0.368591
N = ,1, n = ,4, Step = ,3, Prob(rr) = ,0.238, Prob(fr) = ,0.877, Prob(sr) = ,0.163,Random Number (%) Submit Rating = ,0.620148
N = ,2, n = ,8, Step = ,0, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.574554
N = ,2, n = ,8, Step = ,1, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.3349
N = ,2, n = ,8, Step = ,2, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.274902
N = ,2, n = ,8, Step = ,3, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) = ,0.147614
N = ,2, n = ,8, Step = ,3, Prob(rr) = ,0.201, Prob(fr) = ,0.881, Prob(sr) = ,0.16,Random Number (%) Follow Recommendation = ,0.234314
