learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
4,13,10,0,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.374770989
4,13,10,1,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.265399831
4,13,10,2,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.257664063
4,13,10,3,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.25442866
4,13,10,4,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.365685481
4,13,10,5,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.269700353
4,13,10,6,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.26405457
4,13,10,7,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.263847113
4,13,10,8,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.288414412
4,13,10,9,0.229,0.865,0.154,0.063720703,0.863647461,0.093963623,0,0.274840714
5,9,3,0,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.664992774
5,9,3,1,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.573450244
5,9,3,2,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.539235145
5,9,3,3,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.620528325
5,9,3,4,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.477234802
5,9,3,5,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.624568034
5,9,3,6,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.387302425
5,9,3,7,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.617181643
5,9,3,8,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.629487507
5,9,3,9,0.22,0.871,0.172,0.192169189,0.545196533,0.043609619,4,0.572595095
11,2,0,0,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.810103667
11,2,0,1,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.72747545
11,2,0,2,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.680020686
11,2,0,3,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.803578157
11,2,0,4,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.533009463
11,2,0,5,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.802001874
11,2,0,6,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.448926353
11,2,0,7,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.793848907
11,2,0,8,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.800024054
11,2,0,9,0.194,0.867,0.189,0.137817383,0.381408691,0.109069824,4,0.721472285
