learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.889434814,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.985839844,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.889160156,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.067932129,0.71987915,0.485443115,N/A,No Rating Submission
2,8,0,0.201,0.881,0.16,0.789031982,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.608032227,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.803710938,N/A,N/A,N/A,No Recommendation Request
2,8,3,0.201,0.881,0.16,0.606323242,N/A,N/A,N/A,No Recommendation Request
2,8,4,0.201,0.881,0.16,0.227264404,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.890075684,N/A,N/A,N/A,No Recommendation Request
2,8,6,0.201,0.881,0.16,0.281097412,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.647399902,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.880310059,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.204467773,0.946350098,N/A,N/A,No Recommendation Follow
3,10,2,0.215,0.875,0.15,0.209777832,0.211212158,0.468322754,N/A,No Rating Submission
3,10,3,0.215,0.875,0.15,0.509979248,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.194488525,0.611480713,0.757598877,N/A,No Rating Submission
3,10,5,0.215,0.875,0.15,0.945892334,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.182617188,0.629516602,0.102813721,4,
3,10,7,0.215,0.875,0.15,0.22543335,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.590484619,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.246276855,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.348083496,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.40423584,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.470275879,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.612701416,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.758972168,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.129669189,0.60369873,0.276641846,N/A,No Rating Submission
4,13,6,0.229,0.865,0.154,0.266021729,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.121398926,0.635101318,0.152557373,1,
4,13,8,0.229,0.865,0.154,0.122070313,0.21182251,0.960845947,N/A,No Rating Submission
4,13,9,0.229,0.865,0.154,0.611846924,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.529174805,N/A,N/A,N/A,No Recommendation Request
4,13,11,0.229,0.865,0.154,0.183013916,0.424987793,0.27722168,N/A,No Rating Submission
4,13,12,0.229,0.865,0.154,0.17300415,0.657928467,0.822052002,N/A,No Rating Submission
5,9,0,0.22,0.871,0.172,0.080169678,0.430633545,0.770935059,N/A,No Rating Submission
5,9,1,0.22,0.871,0.172,0.703704834,N/A,N/A,N/A,No Recommendation Request
5,9,2,0.22,0.871,0.172,0.831481934,N/A,N/A,N/A,No Recommendation Request
5,9,3,0.22,0.871,0.172,0.369506836,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.818634033,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.854064941,N/A,N/A,N/A,No Recommendation Request
5,9,6,0.22,0.871,0.172,0.494903564,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.665557861,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.938598633,N/A,N/A,N/A,No Recommendation Request
6,19,0,0.22,0.863,0.181,0.827911377,N/A,N/A,N/A,No Recommendation Request
6,19,1,0.22,0.863,0.181,0.942260742,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.951080322,N/A,N/A,N/A,No Recommendation Request
6,19,3,0.22,0.863,0.181,0.746734619,N/A,N/A,N/A,No Recommendation Request
6,19,4,0.22,0.863,0.181,0.045684814,0.652832031,0.576446533,N/A,No Rating Submission
6,19,5,0.22,0.863,0.181,0.3777771,N/A,N/A,N/A,No Recommendation Request
6,19,6,0.22,0.863,0.181,0.18347168,0.833862305,0.262664795,N/A,No Rating Submission
6,19,7,0.22,0.863,0.181,0.601135254,N/A,N/A,N/A,No Recommendation Request
6,19,8,0.22,0.863,0.181,0.253601074,N/A,N/A,N/A,No Recommendation Request
6,19,9,0.22,0.863,0.181,0.435241699,N/A,N/A,N/A,No Recommendation Request
6,19,10,0.22,0.863,0.181,0.916503906,N/A,N/A,N/A,No Recommendation Request
6,19,11,0.22,0.863,0.181,0.418182373,N/A,N/A,N/A,No Recommendation Request
6,19,12,0.22,0.863,0.181,0.670318604,N/A,N/A,N/A,No Recommendation Request
6,19,13,0.22,0.863,0.181,0.256988525,N/A,N/A,N/A,No Recommendation Request
6,19,14,0.22,0.863,0.181,0.745941162,N/A,N/A,N/A,No Recommendation Request
6,19,15,0.22,0.863,0.181,0.699768066,N/A,N/A,N/A,No Recommendation Request
6,19,16,0.22,0.863,0.181,0.738067627,N/A,N/A,N/A,No Recommendation Request
6,19,17,0.22,0.863,0.181,0.136322021,0.14553833,0.072387695,0,
6,19,18,0.22,0.863,0.181,0.274108887,N/A,N/A,N/A,No Recommendation Request
7,8,0,0.209,0.866,0.153,0.818725586,N/A,N/A,N/A,No Recommendation Request
7,8,1,0.209,0.866,0.153,0.908416748,N/A,N/A,N/A,No Recommendation Request
7,8,2,0.209,0.866,0.153,0.022521973,0.37121582,0.715026855,N/A,No Rating Submission
7,8,3,0.209,0.866,0.153,0.321228027,N/A,N/A,N/A,No Recommendation Request
7,8,4,0.209,0.866,0.153,0.375274658,N/A,N/A,N/A,No Recommendation Request
7,8,5,0.209,0.866,0.153,0.677337646,N/A,N/A,N/A,No Recommendation Request
7,8,6,0.209,0.866,0.153,0.972625732,N/A,N/A,N/A,No Recommendation Request
7,8,7,0.209,0.866,0.153,0.679718018,N/A,N/A,N/A,No Recommendation Request
8,10,0,0.223,0.887,0.165,0.22857666,N/A,N/A,N/A,No Recommendation Request
8,10,1,0.223,0.887,0.165,0.362518311,N/A,N/A,N/A,No Recommendation Request
8,10,2,0.223,0.887,0.165,0.881103516,N/A,N/A,N/A,No Recommendation Request
8,10,3,0.223,0.887,0.165,0.155761719,0.612487793,0.965484619,N/A,No Rating Submission
8,10,4,0.223,0.887,0.165,0.10723877,0.369567871,0.313476563,N/A,No Rating Submission
8,10,5,0.223,0.887,0.165,0.074462891,0.359436035,0.014892578,0,
