learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.889435
1,4,1,0.238,0.877,0.163,0.98584
1,4,2,0.238,0.877,0.163,0.88916
1,4,3,0.238,0.877,0.163,0.067932
1,4,3,0.238,0.877,0.163,0.719879
1,4,3,0.238,0.877,0.163,0.485443
2,8,0,0.201,0.881,0.16,0.789032
2,8,1,0.201,0.881,0.16,0.608032
2,8,2,0.201,0.881,0.16,0.803711
2,8,3,0.201,0.881,0.16,0.606323
2,8,4,0.201,0.881,0.16,0.227264
2,8,5,0.201,0.881,0.16,0.890076
2,8,6,0.201,0.881,0.16,0.281097
2,8,7,0.201,0.881,0.16,0.6474
3,10,0,0.215,0.875,0.15,0.88031
3,10,1,0.215,0.875,0.15,0.204468
3,10,1,0.215,0.875,0.15,0.94635
3,10,2,0.215,0.875,0.15,0.209778
3,10,2,0.215,0.875,0.15,0.211212
3,10,2,0.215,0.875,0.15,0.468323
3,10,3,0.215,0.875,0.15,0.509979
3,10,4,0.215,0.875,0.15,0.194489
3,10,4,0.215,0.875,0.15,0.611481
3,10,4,0.215,0.875,0.15,0.757599
3,10,5,0.215,0.875,0.15,0.945892
3,10,6,0.215,0.875,0.15,0.182617
3,10,6,0.215,0.875,0.15,0.629517
3,10,6,0.215,0.875,0.15,0.102814
3,10,6,0.215,0.875,0.15,0.819366
3,10,7,0.215,0.875,0.15,0.225433
3,10,8,0.215,0.875,0.15,0.590485
3,10,9,0.215,0.875,0.15,0.246277
4,13,0,0.229,0.865,0.154,0.348083
4,13,1,0.229,0.865,0.154,0.404236
4,13,2,0.229,0.865,0.154,0.470276
4,13,3,0.229,0.865,0.154,0.612701
4,13,4,0.229,0.865,0.154,0.758972
4,13,5,0.229,0.865,0.154,0.129669
4,13,5,0.229,0.865,0.154,0.603699
4,13,5,0.229,0.865,0.154,0.276642
4,13,6,0.229,0.865,0.154,0.266022
4,13,7,0.229,0.865,0.154,0.121399
4,13,7,0.229,0.865,0.154,0.635101
4,13,7,0.229,0.865,0.154,0.152557
4,13,7,0.229,0.865,0.154,0.385223
4,13,8,0.229,0.865,0.154,0.12207
4,13,8,0.229,0.865,0.154,0.211823
4,13,8,0.229,0.865,0.154,0.960846
4,13,9,0.229,0.865,0.154,0.611847
