learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,0,0.238,0.877,0.163,0.944061,0
1,4,1,0.238,0.877,0.163,0.352356,1
1,4,2,0.238,0.877,0.163,0.072784,2
4,13,4,0.229,0.865,0.154,0.321472,0
5,9,3,0.22,0.871,0.172,0.228516,0
6,19,6,0.22,0.863,0.181,0.03421,0
6,19,9,0.22,0.863,0.181,0.727692,1
6,19,18,0.22,0.863,0.181,0.695923,2
7,8,6,0.209,0.866,0.153,0.927124,0
8,10,3,0.223,0.887,0.165,0.361298,0
8,10,5,0.223,0.887,0.165,0.832703,6
9,13,0,0.199,0.871,0.156,0.219116,6
9,13,3,0.199,0.871,0.156,0.6828,4
10,7,0,0.2,0.876,0.158,0.752563,6
10,7,2,0.2,0.876,0.158,0.300751,4
12,19,0,0.221,0.877,0.142,0.183838,6
12,19,5,0.221,0.877,0.142,0.799927,4
12,19,6,0.221,0.877,0.142,0.168182,2
12,19,17,0.221,0.877,0.142,0.573639,0
13,8,3,0.232,0.87,0.181,0.655701,4
13,8,5,0.232,0.87,0.181,0.501251,0
14,7,2,0.219,0.871,0.161,0.396576,4
15,15,0,0.218,0.879,0.17,0.330719,4
15,15,1,0.218,0.879,0.17,0.55957,0
15,15,7,0.218,0.879,0.17,0.205444,6
15,15,10,0.218,0.879,0.17,0.868011,9
15,15,14,0.218,0.879,0.17,0.069519,2
16,8,5,0.201,0.854,0.167,0.103394,4
17,16,2,0.22,0.885,0.159,0.503174,4
17,16,7,0.22,0.885,0.159,0.972382,0
17,16,8,0.22,0.885,0.159,0.336761,9
17,16,14,0.22,0.885,0.159,0.19812,6
18,10,0,0.213,0.871,0.173,0.213196,4
18,10,3,0.213,0.871,0.173,0.901978,0
18,10,9,0.213,0.871,0.173,0.699768,9
19,5,1,0.203,0.874,0.147,0.103455,4
19,5,3,0.203,0.874,0.147,0.146973,0
20,16,10,0.203,0.875,0.159,0.524963,4
21,6,0,0.224,0.868,0.161,0.126282,4
21,6,3,0.224,0.868,0.161,0.722107,0
21,6,4,0.224,0.868,0.161,0.36084,9
22,11,4,0.213,0.886,0.179,0.690979,4
22,11,6,0.213,0.886,0.179,0.641968,0
24,12,3,0.204,0.882,0.181,0.673065,4
24,12,6,0.204,0.882,0.181,0.323853,0
24,12,10,0.204,0.882,0.181,0.351929,9
25,15,1,0.222,0.878,0.162,0.367981,4
25,15,3,0.222,0.878,0.162,0.942657,0
25,15,12,0.222,0.878,0.162,0.047974,9
25,15,14,0.222,0.878,0.162,0.202057,3
26,20,0,0.21,0.877,0.164,0.950745,4
26,20,1,0.21,0.877,0.164,0.765961,0
26,20,3,0.21,0.877,0.164,0.38147,6
26,20,5,0.21,0.877,0.164,0.770935,9
26,20,10,0.21,0.877,0.164,0.296265,2
26,20,13,0.21,0.877,0.164,0.522888,1
26,20,17,0.21,0.877,0.164,0.467407,3
27,10,3,0.197,0.884,0.171,0.599274,4
28,20,0,0.222,0.858,0.156,0.516846,4
28,20,1,0.222,0.858,0.156,0.779663,6
28,20,7,0.222,0.858,0.156,0.11972,9
28,20,9,0.222,0.858,0.156,0.783081,0
28,20,12,0.222,0.858,0.156,0.402954,1
29,20,3,0.225,0.848,0.187,0.778717,0
29,20,10,0.225,0.848,0.187,0.624054,4
29,20,14,0.225,0.848,0.187,0.408325,9
29,20,15,0.225,0.848,0.187,0.82135,1
30,13,0,0.214,0.883,0.167,0.290039,1
30,13,3,0.214,0.883,0.167,0.982056,2
31,10,1,0.21,0.878,0.158,0.980865,1
31,10,6,0.21,0.878,0.158,0.24527,2
31,10,7,0.21,0.878,0.158,0.259308,3
32,15,2,0.224,0.892,0.171,0.638367,1
33,22,3,0.215,0.885,0.181,0.258209,1
33,22,8,0.215,0.885,0.181,0.434082,2
33,22,9,0.215,0.885,0.181,0.74704,0
33,22,14,0.215,0.885,0.181,0.167969,4
35,23,0,0.211,0.883,0.171,0.901123,2
35,23,1,0.211,0.883,0.171,0.641754,1
35,23,2,0.211,0.883,0.171,0.169983,5
35,23,10,0.211,0.883,0.171,0.279938,7
35,23,15,0.211,0.883,0.171,0.818146,4
35,23,19,0.211,0.883,0.171,0.302704,6
35,23,21,0.211,0.883,0.171,0.974884,9
36,19,0,0.226,0.864,0.15,0.397003,1
36,19,6,0.226,0.864,0.15,0.426971,7
36,19,10,0.226,0.864,0.15,0.131287,4
36,19,12,0.226,0.864,0.15,0.975922,6
36,19,13,0.226,0.864,0.15,0.607758,9
36,19,14,0.226,0.864,0.15,0.697144,3
36,19,17,0.226,0.864,0.15,0.164673,2
36,19,18,0.226,0.864,0.15,0.664734,0
37,9,0,0.204,0.862,0.175,0.522797,1
37,9,1,0.204,0.862,0.175,0.958771,7
37,9,6,0.204,0.862,0.175,0.824188,4
37,9,8,0.204,0.862,0.175,0.810486,6
38,27,6,0.186,0.87,0.168,0.608429,1
39,5,1,0.233,0.878,0.159,0.199799,1
39,5,3,0.233,0.878,0.159,0.106171,7
40,16,2,0.217,0.889,0.162,0.171417,1
40,16,7,0.217,0.889,0.162,0.68454,7
40,16,8,0.217,0.889,0.162,0.037415,4
41,17,0,0.222,0.866,0.147,0.523499,1
41,17,2,0.222,0.866,0.147,0.788116,7
41,17,4,0.222,0.866,0.147,0.362152,4
41,17,6,0.222,0.866,0.147,0.944214,6
41,17,7,0.222,0.866,0.147,0.094727,9
42,3,2,0.208,0.883,0.156,0.670288,1
43,19,9,0.208,0.866,0.186,0.221313,1
43,19,13,0.208,0.866,0.186,0.785858,7
44,18,0,0.229,0.874,0.148,0.505798,6
44,18,2,0.229,0.874,0.148,0.320404,1
44,18,4,0.229,0.874,0.148,0.787476,0
44,18,5,0.229,0.874,0.148,0.941284,2
44,18,17,0.229,0.874,0.148,0.967102,8
45,23,2,0.212,0.857,0.18,0.291077,0
45,23,6,0.212,0.857,0.18,0.762146,2
45,23,9,0.212,0.857,0.18,0.974457,1
45,23,13,0.212,0.857,0.18,0.234009,8
45,23,15,0.212,0.857,0.18,0.374969,3
45,23,19,0.212,0.857,0.18,0.052948,4
46,15,4,0.215,0.874,0.166,0.608765,0
46,15,7,0.215,0.874,0.166,0.46051,2
46,15,11,0.215,0.874,0.166,0.202515,1
47,10,3,0.204,0.889,0.168,0.054321,0
47,10,4,0.204,0.889,0.168,0.742279,2
47,10,6,0.204,0.889,0.168,0.749329,1
47,10,9,0.204,0.889,0.168,0.249115,8
48,11,3,0.235,0.876,0.14,0.238281,0
48,11,5,0.235,0.876,0.14,0.503662,2
48,11,7,0.235,0.876,0.14,0.034302,1
48,11,9,0.235,0.876,0.14,0.061493,8
49,29,6,0.196,0.879,0.164,0.770752,0
49,29,13,0.196,0.879,0.164,0.924469,2
49,29,18,0.196,0.879,0.164,0.793518,1
49,29,19,0.196,0.879,0.164,0.555054,8
49,29,20,0.196,0.879,0.164,0.419373,3
49,29,27,0.196,0.879,0.164,0.182861,4
50,11,0,0.227,0.872,0.161,0.66803,0
50,11,4,0.227,0.872,0.161,0.88681,3
50,11,9,0.227,0.872,0.161,0.056183,8
50,11,10,0.227,0.872,0.161,0.889404,7
